[Atlas_info]
/atlas/tiles.png
832 768
64 64
30 30
[ID_matrix]
39 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 40 c 41 c
52 c 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 118 n 118 n 118 n 118 n 122 n 131 n 131 n 123 n 118 n 117 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 118 n 118 n 118 n 118 n 119 n 14 n 14 n 117 n 118 n 117 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 118 n 118 n 118 n 118 n 119 n 14 n 14 n 117 n 118 n 117 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 118 n 118 n 118 n 118 n 119 n 14 n 14 n 117 n 118 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 118 n 118 n 118 n 118 n 118 n 118 n 106 n 14 n 14 n 14 n 14 n 14 n 14 n 118 n 119 n 14 n 14 n 117 n 118 n 118 n 118 n 118 n 118 n 118 n 118 n 118 n 118 n 54 c
52 c 14 n 118 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 130 n 131 n 131 n 131 n 131 n 131 n 131 n 131 n 131 n 131 n 54 c
52 c 14 n 118 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 118 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 118 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 118 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 118 n 118 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
52 c 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 14 n 54 c
